Id,Fecha,Ruta,Operador,Trayecto,Modelo del Avion,Registro,Total a Bordo,Pasajeros a bordo,Tripulantes a bordo,Total Fallecidos,Fatalidad Pasajeros,Fatalidad Tripulantes,Fatalidad en Tierra,Año,Tipo de Operador,Origen
653,1942-10-01,"Coamo,Puerto Rico",Military - U.S. Army Air Forces,Juana Díaz-Losey Field - San Juan,Douglas C-39-DO  (DC-2),38-524,22,17,5,22,17,5,0,1942,Militar,No encontrado
654,1942-10-03,"Botwood,Newfoundland",American Export Airlines,"New York - Botwood - Foynes, Ireland",Sirkorsky 44A (flying boat),NC41880,37,26,11,11,6,5,0,1942,Comercial,United States
655,1942-10-22,"Yanaul,Russia",Aeroflot,Moscow - Kazan - Sverdlovsk,GVF PS-84,CCCP-L3903,12,7,5,10,5,5,0,1942,Comercial,No encontrado
656,1942-10-22,"Budapest,Romania",Deutsche Lufthansa,Budapest - Belgrade,Junkers JU-52/3m,D-AYGX,17,14,3,17,14,3,0,1942,Comercial,Germany
657,1942-10-23,"Palm Springs,California",American Airlines / Military - USAF,Palm Springs - New York City,Douglas DC-3 / Lockheed B-34,NC16017,13,10,3,12,10,2,0,1942,Militar,United States
658,1942-10-24,"La Esperanza,Colombia",Avianca,Desconocido,Boeing 247,C-144,6,4,2,6,4,2,0,1942,Comercial,Canada
659,1942-10-30,Norway,Military - Royal Air Force,Desconocido,Handley Page HP-57 Halifax,W7773,10,7,3,10,7,3,0,1942,Militar,United States
660,1942-11-17,"Kranoyarsk,Russia",Kranoyarskie Vozhjushnye Trassy,Kranoyarsk - Kirensk,Grazhdansky Vozdushnyi Flot PS-84,CCCP-L-3965,20,16,4,20,16,4,0,1942,Comercial,No encontrado
661,1942-12-12,"Tashkent,Russia",Aeroflot,Chardzhou - Tashkent,Tupolev A.N.T. 20bis,SSSR-L-760,36,30,6,36,30,6,0,1942,Comercial,No encontrado
662,1942-12-15,"Fairfield,Utah",Western Airlines,Salt Lake - Las Vegas - Burbank,Douglas DC-3A,NC16060,19,15,4,17,13,4,0,1942,Comercial,United States
663,1942-12-19,"Vienna,Austria",DDL,"Copenhagen, Denmark - Budapest, Hungary",Junkers JU-52/3m,OY-DAL,16,13,3,2,2,0,0,1942,Comercial,Denmark
664,1942-12-20,"Chilliwack,British Columbia,Canada",Canadian Pacific Air Lines,Prince George - Vancouver,Lockheed 14-H2 Super Electra,CF-CPD,13,10,3,13,10,3,0,1942,Comercial,Canada
665,1943-01-09,"Cabo Ruivo,Marine Base,Lisbon,Portugal",British Overseas Airways,Lisbon - London,Short S-26 (flying boat),G-AFCK,15,11,4,13,10,3,0,1943,Comercial,United Kingdom
666,1943-01-15,"Paramarino,Dutch Guyana",Military - U.S. Army Air Forces,Desconocido,Douglas C-54A,42-32939,35,26,9,35,26,9,0,1943,Militar,No encontrado
667,1943-01-18,"the Brazilian coast, Atlantic Ocean",Military - U.S. Army Air Forces,"Accra, Ghana - Natal, Brazil",Consolidated C-87,41-1708,26,20,6,26,20,6,0,1943,Militar,No encontrado
668,1943-01-21,"Ukiah,California",Pan American World Airways,Honolulu - San Francisco,Martin M-130 (flying boat),NC14715,19,10,9,19,10,9,0,1943,Comercial,United States
